datos_año;clase_inmueble;distrito_cod;distrito_nombre;barrio_cod;barrio_nombre;uso_cod;uso_deno;inmuebles_barrio;año_cons_medio;sup_cons_barrio;sup_cons_media;sup_suelo_barrio;sup_suelo_media;val_cat_barrio;val_cat_medio
2018;UR;02;Arganzuela;026;Palos de Moguer;E;Cultural;18;1965,00;95010,00;5278,00;;;89637781,99 €;4979876,78 €
2018;UR;02;Arganzuela;026;Palos de Moguer;G;Ocio y Hostelería;19;1941,00;39645,00;2087,00;;;55485226,87 €;2920275,10 €
2018;UR;02;Arganzuela;026;Palos de Moguer;I;Industrial;40;1967,00;52397,00;1310,00;;;46361258,63 €;1159031,47 €
2018;UR;02;Arganzuela;026;Palos de Moguer;K;Deportivo;8;1957,00;15543,00;1943,00;;;19741919,06 €;2467739,88 €
2018;UR;02;Arganzuela;026;Palos de Moguer;M;Suelos sin edificar, obras de urbanización y jardinería;31;;;;19043,00;614,00;9190504,72 €;296467,89 €
2018;UR;02;Arganzuela;026;Palos de Moguer;O;Oficinas;316;1975,00;119502,00;378,00;;;146063786,95 €;462227,17 €
2018;UR;02;Arganzuela;026;Palos de Moguer;P;Edificio Singular;5;1957,00;24961,00;4992,00;;;22668133,66 €;4533626,73 €
2018;UR;02;Arganzuela;026;Palos de Moguer;R;Religioso;12;1956,00;7585,00;632,00;;;6793371,27 €;566114,27 €
2018;UR;02;Arganzuela;026;Palos de Moguer;T;Espectáculos;3;1973,00;20467,00;6822,00;;;23731871,67 €;7910623,89 €
2018;UR;02;Arganzuela;026;Palos de Moguer;V;Residencial;13533;1953,00;1162851,00;86,00;;;1367814607,49 €;101072,53 €
2018;UR;02;Arganzuela;026;Palos de Moguer;Y;Sanidad y Beneficencia;2;1999,00;8736,00;4368,00;;;9394593,17 €;4697296,58 €
2018;UR;02;Arganzuela;027;Atocha;A;Almacén-Estacionamiento;756;1997,00;48853,00;65,00;;;36417859,43 €;48171,77 €
2018;UR;02;Arganzuela;027;Atocha;C;Comercial;18;1985,00;114436,00;6358,00;;;158110866,69 €;8783937,04 €
2018;UR;02;Arganzuela;027;Atocha;E;Cultural;1;2013,00;7482,00;7482,00;;;5897608,50 €;5897608,50 €
2018;UR;02;Arganzuela;027;Atocha;I;Industrial;20;1978,00;175982,00;8799,00;;;239972365,33 €;11998618,27 €
2018;UR;02;Arganzuela;027;Atocha;M;Suelos sin edificar, obras de urbanización y jardinería;35;;;;138571,00;3959,00;204832386,10 €;5852353,89 €
2018;UR;02;Arganzuela;027;Atocha;O;Oficinas;135;1993,00;116665,00;864,00;;;179032154,46 €;1326164,11 €
2018;UR;02;Arganzuela;027;Atocha;T;Espectáculos;1;1997,00;18565,00;18565,00;;;22926445,56 €;22926445,56 €
2018;UR;02;Arganzuela;027;Atocha;V;Residencial;457;1998,00;51304,00;112,00;;;78125907,55 €;170953,85 €
2018;UR;03;Retiro;031;Pacífico;A;Almacén-Estacionamiento;6693;1987,00;353039,00;53,00;;;143859140,65 €;21493,97 €
2018;UR;03;Retiro;031;Pacífico;C;Comercial;964;1960,00;168591,00;175,00;;;208489634,75 €;216275,55 €
2018;UR;03;Retiro;031;Pacífico;E;Cultural;14;1954,00;40894,00;2921,00;;;35075913,91 €;2505422,42 €
